	(1)	(2)	(3)
	Logit		
VARIABLES	d_irp	d_irp	d_irp
			
d_est_ge	-0.0275	-0.0275	-0.0275
	(0.0464)	(0.0464)	(0.0464)
d_est_l_orig	0.280***	0.280***	0.280***
	(0.0558)	(0.0558)	(0.0558)
inicial	0.918***	0.918***	0.918***
	(0.0572)	(0.0572)	(0.0572)
total_equipo	0.00130***	0.00130***	0.00130***
	(0.000466)	(0.000466)	(0.000466)
unidocente	-0.332***	-0.332***	-0.332***
	(0.0668)	(0.0668)	(0.0668)
multigrado	0.243***	0.243***	0.243***
	(0.0597)	(0.0597)	(0.0597)
completo	0.363***	0.363***	0.363***
	(0.0577)	(0.0577)	(0.0577)
eib	0.122**	0.122**	0.122**
	(0.0539)	(0.0539)	(0.0539)
agua_ie	-0.138***	-0.138***	-0.138***
	(0.0477)	(0.0477)	(0.0477)
desague_ie	0.0460	0.0460	0.0460
	(0.0549)	(0.0549)	(0.0549)
electricidad_ie	-0.103*	-0.103*	-0.103*
	(0.0552)	(0.0552)	(0.0552)
convenio_priv	1.850***	1.850***	1.850***
	(0.121)	(0.121)	(0.121)
tamclase	0.0403***	0.0403***	0.0403***
	(0.00359)	(0.00359)	(0.00359)
material_edu	-0.133**	-0.133**	-0.133**
	(0.0571)	(0.0571)	(0.0571)
clima	0.135***	0.135***	0.135***
	(0.0346)	(0.0346)	(0.0346)
vulnerabilidad	0.0582***	0.0582***	0.0582***
	(0.0150)	(0.0150)	(0.0150)
agua_cp	-0.0166	-0.0166	-0.0166
	(0.0433)	(0.0433)	(0.0433)
desague_cp	0.0957**	0.0957**	0.0957**
	(0.0478)	(0.0478)	(0.0478)
electricidad_cp	-0.190**	-0.190**	-0.190**
	(0.0744)	(0.0744)	(0.0744)
internet_cp	-0.00720	-0.00720	-0.00720
	(0.0434)	(0.0434)	(0.0434)
macroreg_norte	0.415***	0.415***	0.415***
	(0.0668)	(0.0668)	(0.0668)
macroreg_sur	0.598***	0.598***	0.598***
	(0.0619)	(0.0619)	(0.0619)
macroreg_oriente	0.467***	0.467***	0.467***
	(0.0873)	(0.0873)	(0.0873)
macroreg_lima	1.046***	1.046***	1.046***
	(0.141)	(0.141)	(0.141)
ruralidad	-0.389***	-0.389***	-0.389***
	(0.0289)	(0.0289)	(0.0289)
urbana	-1.729***	-1.729***	-1.729***
	(0.0980)	(0.0980)	(0.0980)
vraem	0.0661	0.0661	0.0661
	(0.0479)	(0.0479)	(0.0479)
frontera	0.255***	0.255***	0.255***
	(0.0685)	(0.0685)	(0.0685)
altitud	8.69e-05***	8.69e-05***	8.69e-05***
	(2.16e-05)	(2.16e-05)	(2.16e-05)
distancia	0.0125***	0.0125***	0.0125***
	(0.000772)	(0.000772)	(0.000772)
AB	0.771**	0.771**	0.771**
	(0.363)	(0.363)	(0.363)
C	0.747**	0.747**	0.747**
	(0.371)	(0.371)	(0.371)
D	0.781**	0.781**	0.781**
	(0.367)	(0.367)	(0.367)
E	0.752**	0.752**	0.752**
	(0.369)	(0.369)	(0.369)
contratados_n	0.0389***	0.0389***	0.0389***
	(0.000605)	(0.000605)	(0.000605)
mujer_n	-0.00152***	-0.00152***	-0.00152***
	(0.000554)	(0.000554)	(0.000554)
jorn_40	0.00507***	0.00507***	0.00507***
	(0.00182)	(0.00182)	(0.00182)
jorn_30	0.00174	0.00174	0.00174
	(0.00161)	(0.00161)	(0.00161)
edad30	0.00124***	0.00124***	0.00124***
	(0.000316)	(0.000316)	(0.000316)
edad31_60	-0.000179*	-0.000179*	-0.000179*
	(0.000103)	(0.000103)	(0.000103)
edad60	-0.000838**	-0.000838**	-0.000838**
	(0.000327)	(0.000327)	(0.000327)
experiencia16_25	6.67e-05	6.67e-05	6.67e-05
	(0.000749)	(0.000749)	(0.000749)
experiencia26_40	-0.00460***	-0.00460***	-0.00460***
	(0.000939)	(0.000939)	(0.000939)
experiencia41	-0.00625	-0.00625	-0.00625
	(0.00930)	(0.00930)	(0.00930)
salud_docente	0.0698***	0.0698***	0.0698***
	(0.0249)	(0.0249)	(0.0249)
Constant	-80.32**	-80.32**	-80.32**
	(36.83)	(36.83)	(36.83)
			
Observations	35,486	35,486	35,486
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
