	(1)	(2)	(3)	(4)
	Logit	Logit	Logit	Logit
VARIABLES	irp25	irp25	irp25	irp24
				
2.nivel	-1.595***	-1.595***		-0.916***
	(0.0570)	(0.0570)		(0.0599)
1.est_ge_originario	0.0484	0.0484	-0.00563	0.00823
	(0.0530)	(0.0530)	(0.199)	(0.0607)
2.est_ge_originario	0.257***	0.257***	0.160	0.175**
	(0.0670)	(0.0670)	(0.239)	(0.0777)
total_equipo	-1.46e-05	-1.46e-05	0.000763	0.00106**
	(0.000772)	(0.000772)	(0.000832)	(0.000510)
contratados_n	0.867***	0.867***	0.0477***	0.0392***
	(0.0522)	(0.0522)	(0.00352)	(0.000622)
nombrados_n	-0.180***	-0.180***		
	(0.0589)	(0.0589)		
mujer_n	0.0202	0.0202	-0.00156	-0.00154***
	(0.0199)	(0.0199)	(0.00231)	(0.000572)
jornada_40_n	0.130**	0.130**		
	(0.0587)	(0.0587)		
jornada_30_n	0.0727	0.0727		
	(0.0450)	(0.0450)		
edad_30_n	-0.314***	-0.314***		
	(0.0389)	(0.0389)		
edad_31_60_n	-0.250***	-0.250***		
	(0.0382)	(0.0382)		
edad_60_n	-0.275***	-0.275***		
	(0.0576)	(0.0576)		
experiencia_15_n	-0.0375**	-0.0375**		
	(0.0170)	(0.0170)		
experiencia_16_25	-0.0810***	-0.0810***		
	(0.0251)	(0.0251)		
experiencia_26_40	-0.193***	-0.193***		
	(0.0290)	(0.0290)		
experiencia_41_n	0.00843	0.00843		
	(0.184)	(0.184)		
clima	0.171***	0.171***	0.0107	0.130***
	(0.0278)	(0.0278)	(0.124)	(0.0359)
capital_ugel	0.0429	0.0429	-0.266	-0.0612
	(0.0482)	(0.0482)	(0.186)	(0.0550)
trayectos_cap	-0.00450	-0.00450	-0.128*	0.0139
	(0.0172)	(0.0172)	(0.0753)	(0.0213)
peligro_nat	-0.0363***	-0.0363***	-0.00734	-0.0112
	(0.00753)	(0.00753)	(0.0340)	(0.00916)
peligro_antropicos	-0.0101	-0.0101	-0.00633	-0.00858
	(0.0190)	(0.0190)	(0.0641)	(0.0206)
area_m2	-2.78e-06	-2.78e-06		
	(2.25e-06)	(2.25e-06)		
vulnerabilidad	0.0243*	0.0243*	0.249***	0.0656***
	(0.0141)	(0.0141)	(0.0629)	(0.0172)
servicios_basicos_cp	-0.0418**	-0.0418**	0.0605	-0.0170
	(0.0174)	(0.0174)	(0.0794)	(0.0213)
